Nairobi Temperature [2 m elevation corrected],Nairobi Relative Humidity [2 m],Nairobi Wind Speed [10 m],Nairobi Wind Direction [10 m],Nairobi Sunshine Duration,Nairobi Shortwave Radiation,Nairobi Direct Shortwave Radiation,Nairobi Diffuse Shortwave Radiation,Sunscreen
20.14315,57,10.182337,44.999985,0,0,0,0,0
19.74315,58,8.942214,40.100906,0,0,0,0,0
19.24315,60,8.39657,30.963745,0,0,0,0,0
18.793152,62,7.729527,27.75853,0,0,0,0,0
18.183151,64,7.289445,32.905228,0,0,0,0,0
17.533152,67,6.8777895,42.87889,0,0,0,0,0
16.843151,69,5.904439,37.568573,0,0,0,0,0
16.33315,71,6.28713,13.240509,21.283333,5.34,2.8341281,2.505872,1
17.853151,66,7.24486,26.565033,60,171.77,94.593315,77.17669,1
20.173151,57,11.966954,43.781113,60,420.97,250.59535,170.37465,1
22.013151,52,14.081477,57.5288,60,646.14,409.8786,236.2614,1
23.72315,47,16.263872,62.30053,60,826.81,550.027,276.783,1
25.22315,44,18.193361,62.927917,60,946.95996,650.1061,296.8539,1
26.38315,41,19.969458,62.04902,60,1000.36,697.3955,302.9645,1
27.123152,38,21.30093,59.534447,60,982.56,679.82806,302.73193,1
27.343151,36,21.178896,58.20108,60,894.45,604.58215,289.86786,1
27.16315,37,20.497883,59.381393,60,740.48,480.91098,259.569,1
26.453152,38,20.63023,60.751175,53.61702,494.84,304.16913,190.67088,1
25.72315,39,20.288164,62.52556,40.851067,245.64,140.33865,105.30134,1
24.593151,42,18.532133,65.92449,0,64.08,34.046818,30.033184,1
23.48315,45,18.25026,67.98871,0,0,0,0,0
22.49315,48,15.778518,62.85031,0,0,0,0,0
21.353151,50,14.20062,59.534447,0,0,0,0,0
20.56315,53,12.313894,52.125008,0,0,0,0,0
